ID,Evacuate,KnowEstab,SLRPers,SSDPers,ARelocate,Aprotect,ANoRecover,PCUnexp,PCAbleMov,PCNoRecov,Age_Cat,Hincome,Education,NotHS,HS,SomeCollege,AssocVoc,Bach,SomeGrad,Grad,Ethnicity,White,Hispanic,Afam,Other,HomeLang,EngOnly,EngPrim,EngSec,EngNot,FldRisk,Gender,Female
187,1,0,-1,0,-1,0,0,0,1,1,2,3,4,0,0,0,1,0,0,0,4,0,0,0,1,2,0,1,0,0,1,1,1
283,2,1,-1,0,-1,1,-1,1,0,1,4,6,3,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0
169,2,1,1,2,1,2,1,2,0,0,2,2,4,0,0,0,1,0,0,0,3,0,0,1,0,1,1,0,0,0,1,1,1
356,1,0,-1,0,1,0,0,1,1,0,2,1,2,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0
22,2,0,-2,-2,-2,0,0,0,2,1,2,1,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1
195,4,2,-2,2,1,0,0,-1,0,-1,3,6,3,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0
134,1,-1,-2,-2,2,2,1,-1,2,2,4,1,5,0,0,0,0,1,0,0,3,0,0,1,0,1,1,0,0,0,1,1,1
143,2,-1,-1,0,0,1,0,0,0,0,2,2,3,0,0,1,0,0,0,0,3,0,0,1,0,1,1,0,0,0,1,1,1
346,1,1,-1,1,1,0,0,0,1,1,4,6,4,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0
35,2,-1,-1,1,1,1,-1,1,1,1,2,1,2,0,1,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,1,1,1
121,1,1,0,1,1,1,-1,-1,2,-1,3,1,5,0,0,0,0,1,0,0,1,1,0,0,0,2,0,1,0,0,1,1,1
17,1,2,0,1,-2,1,-1,-1,1,1,3,5,3,0,0,1,0,0,0,0,2,0,1,0,0,1,1,0,0,0,1,2,0
