GISJOIN,COUNTYA,TRACTA,BLKGRPA,PUnder5,PUnder18,POver65,PAfam,PNonWhite,PHisp,PNoDiploma,PCollegePlus,PPov,PRenter,MedValue,PerCapInc,PMobHom
G13005100110041,51,11004,1,0.061307114,0.245228456,0.199537305,0,0.023713129,0.016194332,0.02207686,11.04938272,0.060331825,0.012066365,423100,59208,0
G13005100110042,51,11004,2,0.025515211,0.168792934,0.213935231,0.028459274,0.065750736,0,0.0625,2.437956204,0.081534772,0.194244604,284500,41586,0
G13005100110043,51,11004,3,0.042328042,0.153439153,0.19973545,0.009259259,0.009259259,0.014550265,0.057391304,6.369565217,0.024316109,0.121580547,289300,39146,0
G13005100110051,51,11005,1,0,0.08625731,0.599415205,0.033625731,0.033625731,0.036549708,0.024,5.093023256,0.040431267,0.067385445,643400,51548,0
G13005100110052,51,11005,2,0.014939309,0.028011204,0.62464986,0.006535948,0.046685341,0,0,15.67346939,0.024,0,470800,67901,0
G13005100110053,51,11005,3,0,0.185986159,0.292387543,0,0,0.023356401,0,4.175572519,0,0,513800,55847,0
G13005100110054,51,11005,4,0.040701315,0.221665623,0.435817157,0.023168441,0.038822793,0.034439574,0,11.06329114,0.020700637,0,621800,56529,0
G13005100110061,51,11006,1,0.012626263,0.05976431,0.668350168,0.003367003,0.012626263,0.021885522,0.007332722,8.813953488,0.023255814,0.151162791,440100,71261,0
G13005100110062,51,11006,2,0.034753827,0.168804303,0.362019032,0.015721969,0.015721969,0.023582954,0.020897044,9.207142857,0.046396841,0.075024679,305700,57787,0.004893964
G13005100111031,51,11103,1,0.029090909,0.32,0.180606061,0,0,0.010909091,0.121621622,2.525641026,0.121771218,0.140221402,345900,26535,0.017621145
G13005100111032,51,11103,2,0,0.049940547,0.329369798,0,0,0,0.05751634,16.6,0.021798365,0.223433243,327800,41832,0
G13005100111033,51,11103,3,0.033374536,0.182941904,0.265760198,0.055624227,0.055624227,0,0.098228663,1.205,0.225,0.253125,358500,27438,0
G13005100111034,51,11103,4,0,0.078431373,0.250544662,0,0.017429194,0,0.032540676,2.885714286,0.020100503,0.527638191,419400,46486,0
G13005100111041,51,11104,1,0.030128205,0.198076923,0.168589744,0.007692308,0.016666667,0,0.070750647,1.702439024,0.095663265,0.539540816,199700,38537,0
G13005100111042,51,11104,2,0.055425449,0.194379391,0.212724434,0.045667447,0.095238095,0.023028884,0.034108527,2.097686375,0.042253521,0.156690141,184700,31341,0
G13005100111043,51,11104,3,0.078947368,0.226076555,0.208133971,0.004784689,0.306220096,0,0.076350093,0.67539267,0.050632911,0.231012658,157500,25305,0
G13005100111061,51,11106,1,0.020408163,0.162880246,0.150943396,0,0.031574894,0.028109357,0.008653326,9.669291339,0.106583072,0.438871473,410500,46856,0
G13005100111062,51,11106,2,0.095089146,0.245542696,0.067250547,0.077259931,0.255864873,0.042852674,0.025936599,1.270866142,0.116727941,0.397058824,235700,27940,0
G13005100111071,51,11107,1,0.046827795,0.30060423,0.114803625,0.028700906,0.028700906,0.090634441,0.047505938,6.564102564,0,0.142857143,300000,34489,0
G13005100111072,51,11107,2,0.011317704,0.080840744,0.288601455,0,0.062247373,0.021827001,0.066413662,1.387434555,0.015734266,0,314500,42290,0
G13005100111073,51,11107,3,0.077446809,0.177021277,0.232340426,0.034893617,0.057021277,0.005957447,0.063474388,1.448598131,0.020491803,0.110655738,216800,28011,0
G13005100111081,51,11108,1,0.060951105,0.21232418,0.148024113,0.029470864,0.029470864,0.018084394,0.003549246,2.773480663,0.026687598,0.098901099,240100,37106,0
G13005100111082,51,11108,2,0.060225017,0.236929186,0.119126406,0.035737922,0.094639312,0.005294507,0,1.170138889,0.028268551,0.160777385,264700,32585,0.010084034
G13005100111091,51,11109,1,0.013065796,0.118525432,0.235650957,0,0.074661689,0.015865609,0.023561644,1.402150538,0.059459459,0.166486486,244900,39343,0.038738739
G13005100111092,51,11109,2,0.023754536,0.295282085,0.091388981,0.035961729,0.126360937,0.052128011,0.035335689,21.61818182,0.047660312,0.370883882,302800,34005,0.012998267
G13005100111093,51,11109,3,0,0.164241164,0.22037422,0,0,0.051975052,0.043301759,4.622222222,0.055825243,0.077669903,274200,55559,0
G13005100111094,51,11109,4,0.080527086,0.171303075,0.187408492,0,0.055636896,0,0,0,0,0.293548387,134500,28082,0
G13005100112001,51,11200,1,0.014270033,0.048298573,0.100987925,0.097694841,0.145993414,0.041712404,0.101941748,3.154639175,0.28125,0.683333333,403200,32218,0.011725293
G13005100112002,51,11200,2,0.054373522,0.107565012,0.157210402,0.06855792,0.088652482,0.06855792,0,8.459459459,0.276243094,0.593922652,541700,43714,0.003868472
G13005100113001,51,11300,1,0.072819644,0.237933954,0.088907705,0.540220152,0.572396274,0.011007621,0.158227848,2.313253012,0.38961039,0.829004329,172200,11654,0.056363636
G13005100113002,51,11300,2,0.044392523,0.168224299,0.102024922,0.402647975,0.442367601,0.035825545,0.148993289,3.420454545,0.456637168,0.844247788,351400,20225,0
G13005100114001,51,11400,1,0,0.00792393,0.149762282,0.485736926,0.505546751,0.0681458,0.28668942,1.822222222,0.253623188,0.735507246,200000,21089,0
G13005100114002,51,11400,2,0,0.012150668,0.208991495,0.387606318,0.387606318,0.019441069,0.153212521,0.798969072,0.462686567,0.850746269,,18082,0.009787928
G13005100115001,51,11500,1,0.035618878,0.17809439,0.17364203,0.144256456,0.144256456,0.018699911,0.006369427,3.516949153,0.115789474,0.16,179400,32644,0
G13005100115002,51,11500,2,0.030633084,0.188563649,0.172226004,0.257998639,0.292716133,0.008849558,0.06097561,1.715517241,0.054673721,0.0335097,194000,33666,0.015306122
G13005100116001,51,11600,1,0.118677043,0.199416342,0.14688716,0.949416342,0.972762646,0,0.279069767,0.536144578,0.041800643,0.591639871,86100,16343,0
G13005100116002,51,11600,2,0.108757062,0.365112994,0.107344633,0.768361582,0.86440678,0.202683616,0.395806029,0.063414634,0.354077253,0.680257511,88200,11168,0
