GISJOIN,COUNTYA,TRACTA,BLKGRPA,PUnder5,PUnder18,POver65,PAfam,PNonWhite,PHisp,PNoDiploma,PCollegePlus,PPov,PRenter,MedValue,PerCapInc,PMobHom
G13005100030002,51,3000,2,0.06961178,0.196787149,0.099732262,0.036144578,0.06626506,0.072958501,0.045774648,15.97777778,0.123308271,0.37443609,277300,45144,0
G13005100033011,51,3301,1,0.059051307,0.24588577,0.191674734,0.972894482,0.976766699,0.008712488,0.097560976,0.557939914,0.247282609,0.25,96000,15130,0
G13005100033012,51,3301,2,0.033985582,0.29454171,0.131822863,0.98146241,0.98146241,0,0.208400646,0.179824561,0.291666667,0.726851852,86400,12818,0.012448133
G13005100033021,51,3302,1,0.029947917,0.09765625,0.322916667,0.87109375,0.87109375,0,0.115987461,0.607929515,0.146627566,0.237536657,107700,22703,0
G13005100033022,51,3302,2,0.048260382,0.2671156,0.232323232,1,1,0,0.104395604,0.572164948,0.234177215,0.373417722,87600,13518,0
G13005100034001,51,3400,1,0.092664093,0.217503218,0.115830116,0.826254826,0.826254826,0,0.22278481,0.66,0.363636364,0.524793388,90500,35161,0.056291391
G13005100034002,51,3400,2,0.005602241,0.177871148,0.180672269,0.844537815,0.859943978,0,0.128070175,2.180851064,0.136212625,0.534883721,117900,27644,0
G13005100034003,51,3400,3,0.023066486,0.214382632,0.141112619,0.23202171,0.252374491,0.040705563,0.063091483,1.974683544,0.192090395,0.446327684,202900,21745,0
G13005100034004,51,3400,4,0.049497293,0.094354215,0.210363496,0.035576179,0.039443155,0.012374323,0.042201835,2.675,0.052188552,0.372053872,223400,39090,0
G13005100034005,51,3400,5,0.017518248,0.059854015,0.272992701,0.249635036,0.305109489,0.026277372,0.049839228,1.354285714,0.125373134,0.63880597,171400,30611,0.017910448
G13005100035011,51,3501,1,0.034220532,0.230038023,0.050380228,0.539923954,0.595057034,0.005703422,0.088685015,1.431372549,0.292225201,0.576407507,122100,15195,0
G13005100035012,51,3501,2,0.080729167,0.269965278,0.116319444,0.813368056,0.813368056,0.019097222,0.227154047,0.509174312,0.351807229,0.672289157,98000,15263,0
G13005100035013,51,3501,3,0.087179487,0.225641026,0.263247863,0.673504274,0.692307692,0.011965812,0.333333333,0.446428571,0.507598784,0.85106383,101700,13399,0
G13005100035021,51,3502,1,0.016042781,0.171122995,0.11942959,0.711229947,0.734402852,0,0.135254989,0.457142857,0.141129032,0.568548387,81100,19367,0
G13005100035022,51,3502,2,0.057377049,0.295081967,0.145081967,0.873770492,0.873770492,0,0.216589862,0.219917012,0.339759036,0.530120482,99100,15798,0
G13005100035023,51,3502,3,0.029810298,0.18699187,0.08401084,0.376693767,0.493224932,0,0.146310433,0.506024096,0.176966292,0.22752809,112800,18718,0
