"GISJOIN","COUNTYA","TRACTA","BLKGRPA","sumscores"
"G13005100102003",51,10200,3,-0.308074170680029
"G13005100105011",51,10501,1,0.331784062727498
"G13005100105012",51,10501,2,-0.52038230399979
"G13005100105013",51,10501,3,0.0568519620037797
"G13005100105014",51,10501,4,-0.0792696254370202
"G13005100105015",51,10501,5,-0.452481666923084
"G13005100105021",51,10502,1,1.97847258276902
"G13005100105022",51,10502,2,0.344382209257537
"G13005100106011",51,10601,1,-1.37326081047352
"G13005100106012",51,10601,2,-0.794452801476027
"G13005100106013",51,10601,3,-0.999227046583607
"G13005100106014",51,10601,4,0.0226949306526957
"G13005100106015",51,10601,5,1.74887291203553
"G13005100106016",51,10601,6,-0.574948036191348
"G13005100106031",51,10603,1,0.256735280303681
"G13005100106051",51,10605,1,-2.25678500667466
"G13005100107001",51,10700,1,-0.423586028492324
"G13005100107002",51,10700,2,-1.1270572174743
"G13005100107003",51,10700,3,-1.17251231664053
"G13005100108011",51,10801,1,-1.06535185580411
"G13005100108012",51,10801,2,-1.27223388292209
"G13005100108021",51,10802,1,-0.178679255424514
"G13005100108022",51,10802,2,-1.32248297490332
"G13005100108031",51,10803,1,-1.48221376295178
"G13005100108032",51,10803,2,-1.10606617044647
"G13005100108033",51,10803,3,-0.429464042442548
"G13005100108034",51,10803,4,-0.339229721308172
"G13005100108061",51,10806,1,-0.603988700449139
"G13005100108062",51,10806,2,0.25187596045518
"G13005100108063",51,10806,3,-0.325978240085487
"G13005100108064",51,10806,4,0.0578956507061708
"G13005100108071",51,10807,1,-0.622410055873606
"G13005100108072",51,10807,2,-0.883591411245972
"G13005100108073",51,10807,3,-0.136576128432187
"G13005100108081",51,10808,1,0.012719360185329
"G13005100108082",51,10808,2,0.275638970079302
"G13005100108083",51,10808,3,-1.01738366786367
"G13005100108084",51,10808,4,-0.624468826225349
"G13005100108091",51,10809,1,-0.865946403092652
"G13005100108092",51,10809,2,-0.142744977220418
"G13005100109011",51,10901,1,-0.0746226687777875
"G13005100109012",51,10901,2,1.30232639997963
"G13005100109013",51,10901,3,-0.223874569389033
"G13005100110031",51,11003,1,-1.28498345862094
"G13005100110032",51,11003,2,-1.35137875227645
"G13005100110033",51,11003,3,-0.851361066107305
"G13005100110034",51,11003,4,-0.834116565307737
"G13005100110035",51,11003,5,-1.14527101552258
"G13005100110041",51,11004,1,-0.807716680337775
"G13005100110042",51,11004,2,-1.07046750172768
"G13005100110043",51,11004,3,-1.18031900573119
"G13005100110051",51,11005,1,-1.41874114494501
"G13005100110052",51,11005,2,-1.11156386051398
"G13005100110053",51,11005,3,-1.73005512465044
"G13005100110054",51,11005,4,-0.974742830794652
"G13005100110061",51,11006,1,-1.52274573870244
"G13005100110062",51,11006,2,-1.20550140509575
"G13005100111031",51,11103,1,-0.618702469877568
"G13005100111032",51,11103,2,-0.963992114146173
"G13005100111033",51,11103,3,-1.07437762601406
"G13005100111034",51,11103,4,-1.0935438439374
"G13005100111041",51,11104,1,-0.80373087789544
"G13005100111042",51,11104,2,-1.20686025323518
"G13005100111043",51,11104,3,-0.99793509111263
"G13005100111061",51,11106,1,-0.308019305192988
"G13005100111062",51,11106,2,-0.603755310604394
"G13005100111071",51,11107,1,-0.842095454997376
"G13005100111072",51,11107,2,-1.68574728228757
"G13005100111073",51,11107,3,-1.15469579846696
"G13005100111081",51,11108,1,-1.16711198270459
"G13005100111082",51,11108,2,-1.23033806465151
"G13005100111091",51,11109,1,-1.46078481451704
"G13005100111092",51,11109,2,0.152898961131399
"G13005100111093",51,11109,3,-1.23003625370315
"G13005100111094",51,11109,4,-1.39145603592967
"G13005100112001",51,11200,1,0.12722138596003
"G13005100112002",51,11200,2,0.348920146495551
"G13005100113001",51,11300,1,1.19477909913299
"G13005100113002",51,11300,2,1.0341994979916
"G13005100114001",51,11400,1,-0.0573582309997507
"G13005100114002",51,11400,2,0.569802376772354
"G13005100115001",51,11500,1,-0.958182266432988
"G13005100115002",51,11500,2,-1.29856580200035
"G13005100116001",51,11600,1,0.783502223235709
"G13005100116002",51,11600,2,1.38196010494281
